Manufacturer,Model,Rated Power (kW),Cut-in Wind Speed (m/s),Rated Wind Speed (m/s),Cut-out Wind Speed (m/s),Rotor Diameter (m),Swept Area (m^2),Power Density 1 (W/m^2),Power Density 2 (m^2/kW),Hub Height (m),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5
GE Wind,GE1.7-100,1700,3,10,23,100,7854,216.5,4.6,80/96,0,0,0,0,0,0,0,40,100,195,303,424,545,687,829,1015,1201,1370,1535,1647,1687,1698,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
NEG Micon,NM19,108,4,14,30,18.9,280.55,385.7,2.6,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endurance,E-3120,50,3.5,10,25,19.2,290,172.4,5.8,37/43,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG Micon,NM48,750,4,16,25,48.2,1824,411.2,2.4,50/60/70,0,0,0,0,0,0,0,4.4,16.68,33.49,50.41,68.23,89.77,122.1,159.1,198.7,247.4,294.3,347.6,393.4,446.2,499.4,543.8,591.5,640.2,680.5,712.4,735.5,751.9,767.5,774.6,774.2,769.2,761.1,749.7,735.1,715.5,706.3,697.2,692.9,683.3,652.8,,
PowerWind,PW56-900,900,3,12.5,25,56,2463,365.4,2.7,59/71,0,0,0,0,0,0,5,17,32,50,71,103,136,182,230,288,345,421,497,593,687,755,815,860,886,896,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
Aeronautica,47-750,750,3.5,14.5,25,47,1735,432.3,2.3,50/65,0,0,0,0,0,0,0,9,20,35,53,71,88,120,153,192,233,287,345,397,448,497,545,590,633,670,702,725,742,747,750,750,750,750,750,750,750,750,750,750,750,750,750,750
GE Wind,GE1.5-77,1500,3.5,12,25,77,4657,322.1,3.1,61.4/64.7/80/85/100,0,0,0,0,0,0,0,20,46.33,83,131,185,250,326,416,521,640,780,924,1062,1181,1283,1359,1402,1436,1463,1481,1488,1494,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GE Wind,GE2.7-116,2700,3,,,116,10660,253.3,3.9,80/90/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Wind,GE2.82-127,2800,3,8,25,127,12667,221,4.5,89/114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Wind,GE1.85-82.5,1850,3,13,25,82.5,5346,346.1,2.9,65/80/100,0,0,0,0,0,0,6,38,75,130,201,270,347,459,571,710,849,988,1126,1293,1459,1578,1697,1780,1823,1845,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850,1850
GE Wind,GE2.3-116,2300,3,10.4,22,116,10569,217.6,4.6,80/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vestas,V47-0.66,660,4,15,25,47,1735,380.4,2.6,40/45/50/55,0,0,0,0,0,0,0,0,4.68,24.24,43.8,70.25,96.7,129.84,166,209,252,301,350,402.17,450,494,538,569,600,618.26,635,643,651,654.13,657,658,659,659.5,660,660,660,660,660,660,660,660,660,660
Vestas,V90-1.8,1800,3,13,25,90,6362,282.9,3.54,80/95/105,0,0,0,0,0,0,10,20,46,110,170,240,355,460,580,727,874,1047,1219,1382,1544,1642,1740,1775,1789,1795,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
Vestas,V90-3.0,3000,3.5,16.5,25,90,6362,471.5,2.1,80/105,0,0,0,0,0,0,0,38,77,133,190,271,353,467,581,733,886,1079,1272,1484,1696,1901,2106,2298,2489,2643,2797,2874,2951,2972,2993,2996,2999,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Vestas,V80-1.8,1800,4,15,25,80,5027,358.1,2.8,60/67/78,0,0,0,0,0,0,0,0,11.43,60.22,109,181,253,343.87,443,562.5,682,825,968,1133.91,1286,1434,1582,1665,1748,1771.48,1793,1796,1799,1799.52,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
REpower,MM92,2050,3,12.5,24,92.5,6720,305.1,3.3,68.5/80/100,0,0,0,0,0,0,20,57,94,150,205,298,391,518,645,812,979,1177,1375,1750,1950,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Bonus,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens,SWT-2.3-101,2300,3,12,20,101,8012,287.5,3.49,80,0,0,0,0,0,0,9,64,119,180,249,359,469,585,700,888,1075,1303,1530,1800,2010,2115,2195,2260,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0
Siemens,SWT-2.3-93,2300,3.5,13,25,93,6793,338.2,2.96,80,0,0,0,0,0,0,0,26,53,100,163,278,393,537,682,860,1039,1234,1430,1580,1730,1885,2040,2140,2241,2280,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
Nordtank,NTK65,65,3.6,13.5,25,16.5,213,305.2,3.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitsubishi,MWT62/1.0,1000,3,12.5,25,61.4,2960,337.8,3,50/60/69,0,0,0,0,0,0,0,0,0,0,44,100,162,210,268,330,406,485,568,670,767,880,984,996,998,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Wincon,108,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwin,29-STALL-225,225,4,14,25,29.1,664,338.9,3,30/40,0,0,0,0,0,0,0,0,0,0,4,12,20,29.57,40,52,64,78.5,93,108.65,123,136,149,161.5,174,183.91,193,199,205,210.22,215,218,221,222,223,223.48,224,224.5,225,225,225,224.48,224,222
Nordtank,NTK150,150,4,13.5,25,24.6,475,315.8,3.2,,0,0,0,0,0,0,0,0,0.1,,8,,24,,40,,63,,88,,111,,132,,147,,157,,155,,149,149,149,149,149,149,149,149,149,149,149,149,149,149
NEG Micon,M530,250,4,14.5,25,26,530,471.7,2.1,30,0,0,0,0,0,0,0,0,0.2,,3.6,,19.5,,42.8,,72,,104.4,,139.4,,173.6,,206.8,,235.1,,255.7,,266.7,,267.9,,254.3,,248.9,,242.7,,236.6,,231.1,